$0;1704998672775776504;1.15-SNAPSHOT;KIEKER;0db502b57f13;1;false;0;NANOSECONDS;0
$1;1704998681897313891;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681897057123;1704998681897307358;0db502b57f13;56;4
$1;1704998681904918898;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681902323508;1704998681904895503;0db502b57f13;58;4
$1;1704998681904928084;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681902178699;1704998681904915139;0db502b57f13;58;4
$1;1704998681904966968;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681896934377;1704998681904958351;0db502b57f13;55;3
$1;1704998681904973522;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681896940982;1704998681904965947;0db502b57f13;55;3
$1;1704998681905239395;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681905102455;1704998681905228905;0db502b57f13;61;5
$1;1704998681905240319;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681905064985;1704998681905229498;0db502b57f13;61;5
$1;1704998681905340298;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681905040789;1704998681905332193;0db502b57f13;60;4
$1;1704998681905365987;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681905073159;1704998681905355648;0db502b57f13;60;4
$1;1704998681910014518;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681908067499;1704998681909987918;0db502b57f13;62;4
$1;1704998681910075574;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681904991766;1704998681910068350;0db502b57f13;59;3
$1;1704998681910326130;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681910186154;1704998681910317183;0db502b57f13;65;5
$1;1704998681910444285;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681910147341;1704998681910435969;0db502b57f13;64;4
$1;1704998681910558801;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681908629818;1704998681910547690;0db502b57f13;62;4
$1;1704998681910584820;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681904990723;1704998681910578779;0db502b57f13;59;3
$1;1704998681910877456;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681910739564;1704998681910867006;0db502b57f13;65;5
$1;1704998681910941778;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681910705409;1704998681910932450;0db502b57f13;64;4
$1;1704998681916584773;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681913701513;1704998681916559956;0db502b57f13;66;4
$1;1704998681916590098;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681914312762;1704998681916577645;0db502b57f13;66;4
