$0;1702083421063340800;1.15.2;KIEKER;Meshify5800X570;1;false;0;NANOSECONDS;0
$1;1702083428708362700;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127685;1702083428706368700;1702083428708361400;Meshify5800X570;6;2
$1;1702083428708366100;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127685;1702083428703601100;1702083428708365400;Meshify5800X570;4;1
$1;1702083428708368200;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127685;1702083428703543800;1702083428708367700;Meshify5800X570;0;0
$1;1702083430696682900;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127686;1702083430696667700;1702083430696674800;Meshify5800X570;2;2
$1;1702083430696709000;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127686;1702083430696704700;1702083430696707600;Meshify5800X570;3;2
$1;1702083430696713600;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127686;1702083430696662200;1702083430696712700;Meshify5800X570;1;1
$1;1702083430698491700;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127686;1702083430696722200;1702083430698489400;Meshify5800X570;5;2
$1;1702083430701011700;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;676947318989127686;1702083430698504200;1702083430701008500;Meshify5800X570;7;3
$1;1702083430701024000;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;676947318989127686;1702083430698500400;1702083430701022600;Meshify5800X570;6;2
$1;1702083430701029100;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;676947318989127686;1702083430696717900;1702083430701028200;Meshify5800X570;4;1
$1;1702083430701032600;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;676947318989127686;1702083430696642600;1702083430701031900;Meshify5800X570;0;0
$1;1702083432695898800;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;676947318989127687;1702083432695888900;1702083432695893600;Meshify5800X570;2;2
$1;1702083432695921600;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;676947318989127687;1702083432695918600;1702083432695920500;Meshify5800X570;3;2
$1;1702083432695925500;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;676947318989127687;1702083432695885900;1702083432695924700;Meshify5800X570;1;1
