$0;1704587733148360900;1.15.2;KIEKER;Zenbook-Flip-14;1;false;0;NANOSECONDS;0
$1;1704587733169091900;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;7110480124176236545;1704587733168937700;1704587733168947800;Zenbook-Flip-14;2;2
$1;1704587733173485600;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;7110480124176236545;1704587733173473000;1704587733173481600;Zenbook-Flip-14;3;2
$1;1704587733173507100;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;7110480124176236545;1704587733164750100;1704587733173505600;Zenbook-Flip-14;1;1
$1;1704587733176131000;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;7110480124176236545;1704587733174048800;1704587733176126500;Zenbook-Flip-14;5;2
$1;1704587733178140200;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;7110480124176236545;1704587733176172200;1704587733178135200;Zenbook-Flip-14;7;3
$1;1704587733178160900;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;7110480124176236545;1704587733176164800;1704587733178158600;Zenbook-Flip-14;6;2
$1;1704587733178169100;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;7110480124176236545;1704587733173522700;1704587733178167800;Zenbook-Flip-14;4;1
$1;1704587733178181200;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;7110480124176236545;1704587733160828500;1704587733178179800;Zenbook-Flip-14;0;0
$1;1704587734411402000;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;7110480124176236546;1704587734411391700;1704587734411396900;Zenbook-Flip-14;2;2
$1;1704587734411431000;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;7110480124176236546;1704587734411426100;1704587734411429100;Zenbook-Flip-14;3;2
$1;1704587734411438000;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;7110480124176236546;1704587734411387500;1704587734411436800;Zenbook-Flip-14;1;1
$1;1704587734413076200;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;7110480124176236546;1704587734411449800;1704587734413071400;Zenbook-Flip-14;5;2
$1;1704587734415593100;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;7110480124176236546;1704587734413101100;1704587734415588400;Zenbook-Flip-14;7;3
$1;1704587734415613400;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;7110480124176236546;1704587734413095300;1704587734415611200;Zenbook-Flip-14;6;2
$1;1704587734415621200;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;7110480124176236546;1704587734411444500;1704587734415619800;Zenbook-Flip-14;4;1
$1;1704587734415626900;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;7110480124176236546;1704587734411376400;1704587734415625800;Zenbook-Flip-14;0;0
$1;1704587735915776500;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;7110480124176236547;1704587735915756900;1704587735915767900;Zenbook-Flip-14;2;2
$1;1704587735915821000;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;7110480124176236547;1704587735915816600;1704587735915819600;Zenbook-Flip-14;3;2
$1;1704587735915827400;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;7110480124176236547;1704587735915748800;1704587735915826200;Zenbook-Flip-14;1;1
$1;1704587735917747500;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;7110480124176236547;1704587735915839100;1704587735917742400;Zenbook-Flip-14;5;2
$1;1704587735920254900;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;7110480124176236547;1704587735917790200;1704587735920250500;Zenbook-Flip-14;7;3
$1;1704587735920272700;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;7110480124176236547;1704587735917782700;1704587735920270900;Zenbook-Flip-14;6;2
$1;1704587735920280000;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;7110480124176236547;1704587735915833600;1704587735920278700;Zenbook-Flip-14;4;1
$1;1704587735920285900;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;7110480124176236547;1704587735915730600;1704587735920284700;Zenbook-Flip-14;0;0
$1;1704587737405021800;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;7110480124176236548;1704587737405009600;1704587737405015600;Zenbook-Flip-14;2;2
$1;1704587737405050500;public kieker.examples.monitoring.application.CRM.<init>(kieker.examples.monitoring.application.Catalog);<no-session-id>;7110480124176236548;1704587737405046100;1704587737405049100;Zenbook-Flip-14;3;2
$1;1704587737405057100;public kieker.examples.monitoring.application.Bookstore.<init>();<no-session-id>;7110480124176236548;1704587737405004600;1704587737405055900;Zenbook-Flip-14;1;1
$1;1704587737407261300;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;7110480124176236548;1704587737405068300;1704587737407251800;Zenbook-Flip-14;5;2
$1;1704587737410120400;public void kieker.examples.monitoring.application.Catalog.getBook(boolean);<no-session-id>;7110480124176236548;1704587737407284100;1704587737410116100;Zenbook-Flip-14;7;3
$1;1704587737410137300;public void kieker.examples.monitoring.application.CRM.getOffers();<no-session-id>;7110480124176236548;1704587737407278300;1704587737410135500;Zenbook-Flip-14;6;2
$1;1704587737410144500;public void kieker.examples.monitoring.application.Bookstore.searchBook();<no-session-id>;7110480124176236548;1704587737405063000;1704587737410143200;Zenbook-Flip-14;4;1
$1;1704587737410149800;public static void kieker.examples.monitoring.application.Main.main(java.lang.String[]);<no-session-id>;7110480124176236548;1704587737404983800;1704587737410148800;Zenbook-Flip-14;0;0
$1;1704587738907393500;public kieker.examples.monitoring.application.Catalog.<init>();<no-session-id>;7110480124176236549;1704587738907377600;1704587738907385100;Zenbook-Flip-14;2;2
