$0;1702581019190693200;1.15.2;KIEKER;Meshify5800X570;1;false;0;NANOSECONDS;0
$1;1702581020201581800;public static void kurz.ma.examples.simple.Main.main(java.lang.String[]);<no-session-id>;5173087859476791297;1702581019201230400;1702581020201427000;Meshify5800X570;0;0
$1;1702581021353227700;public static void kurz.ma.examples.simple.Main.main(java.lang.String[]);<no-session-id>;5173087859476791298;1702581020353047800;1702581021353218300;Meshify5800X570;0;0
$1;1702581022857678500;public static void kurz.ma.examples.simple.Main.main(java.lang.String[]);<no-session-id>;5173087859476791299;1702581021857059900;1702581022857667900;Meshify5800X570;0;0
$1;1702581024349424300;public static void kurz.ma.examples.simple.Main.main(java.lang.String[]);<no-session-id>;5173087859476791300;1702581023349561500;1702581024349414200;Meshify5800X570;0;0
$1;1702581025849387200;public static void kurz.ma.examples.simple.Main.main(java.lang.String[]);<no-session-id>;5173087859476791301;1702581024848565300;1702581025849377300;Meshify5800X570;0;0
$1;1702581027346660600;public static void kurz.ma.examples.simple.Main.main(java.lang.String[]);<no-session-id>;5173087859476791302;1702581026346764200;1702581027346649500;Meshify5800X570;0;0
$1;1702581028852351000;public static void kurz.ma.examples.simple.Main.main(java.lang.String[]);<no-session-id>;5173087859476791303;1702581027852314700;1702581028852340300;Meshify5800X570;0;0
