$0;1703733051710534400;1.15.2;KIEKER;Zenbook-Flip-14;1;false;0;NANOSECONDS;0
$1;1703733051731938300;public kurz.ma.examples.simple.Loop.<init>();<no-session-id>;3812578559545835521;1703733051731644700;1703733051731656300;Zenbook-Flip-14;1;1
$1;1703733051795518600;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733051732740600;1703733051795508900;Zenbook-Flip-14;3;2
$1;1703733051815484400;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733051795555600;1703733051815474900;Zenbook-Flip-14;4;2
$1;1703733051876391900;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733051815514100;1703733051876382200;Zenbook-Flip-14;5;2
$1;1703733051897360500;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733051876425200;1703733051897355400;Zenbook-Flip-14;6;2
$1;1703733051897374300;public void kurz.ma.examples.simple.Loop.loop6(int, int);<no-session-id>;3812578559545835521;1703733051732725100;1703733051897373300;Zenbook-Flip-14;2;1
$1;1703733051902214800;public kurz.ma.examples.simple.Recursion.<init>();<no-session-id>;3812578559545835521;1703733051902204800;1703733051902211100;Zenbook-Flip-14;7;1
$1;1703733052057803600;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;3812578559545835521;1703733052007802600;1703733052057792600;Zenbook-Flip-14;11;4
$1;1703733052057852800;public void kurz.ma.examples.simple.Recursion.recursion6(int, int);<no-session-id>;3812578559545835521;1703733052003035400;1703733052057851400;Zenbook-Flip-14;10;3
$1;1703733052057857700;public void kurz.ma.examples.simple.Recursion.recursion6(int, int);<no-session-id>;3812578559545835521;1703733051952152500;1703733052057856800;Zenbook-Flip-14;9;2
$1;1703733052057861200;public void kurz.ma.examples.simple.Recursion.recursion6(int, int);<no-session-id>;3812578559545835521;1703733051902242200;1703733052057860500;Zenbook-Flip-14;8;1
$1;1703733052098594400;public void kurz.ma.examples.simple.Recursion.recursion6(int, int);<no-session-id>;3812578559545835521;1703733052098589300;1703733052098592200;Zenbook-Flip-14;14;3
$1;1703733052098604700;public void kurz.ma.examples.simple.Recursion.recursion6(int, int);<no-session-id>;3812578559545835521;1703733052077785600;1703733052098604000;Zenbook-Flip-14;13;2
$1;1703733052098607800;public void kurz.ma.examples.simple.Recursion.recursion6(int, int);<no-session-id>;3812578559545835521;1703733052057872300;1703733052098607200;Zenbook-Flip-14;12;1
$1;1703733052098614600;public kurz.ma.examples.simple.Loop.<init>();<no-session-id>;3812578559545835521;1703733052098612700;1703733052098614000;Zenbook-Flip-14;15;1
$1;1703733052123406300;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733052098622100;1703733052123403800;Zenbook-Flip-14;17;2
$1;1703733052131979700;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733052123417200;1703733052131977900;Zenbook-Flip-14;18;2
$1;1703733052156646300;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733052131986900;1703733052156642100;Zenbook-Flip-14;19;2
$1;1703733052165293500;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733052156660200;1703733052165291900;Zenbook-Flip-14;20;2
$1;1703733052189434900;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733052165300100;1703733052189430800;Zenbook-Flip-14;21;2
$1;1703733052198094200;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;3812578559545835521;1703733052189449300;1703733052198093000;Zenbook-Flip-14;22;2
$1;1703733052198101500;public void kurz.ma.examples.simple.Loop.loop6(int, int);<no-session-id>;3812578559545835521;1703733052098619200;1703733052198100600;Zenbook-Flip-14;16;1
$1;1703733052328839800;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;3812578559545835521;1703733052198113800;1703733052328829300;Zenbook-Flip-14;23;1
$1;1703733052429906700;public void kurz.ma.examples.simple.Loop.loop(int, int);<no-session-id>;3812578559545835521;1703733052328920600;1703733052429897600;Zenbook-Flip-14;24;1
$1;1703733052551514900;public void kurz.ma.examples.simple.Recursion.recursion(int, int);<no-session-id>;3812578559545835521;1703733052551501900;1703733052551509700;Zenbook-Flip-14;29;5
$1;1703733052551534800;public void kurz.ma.examples.simple.Recursion.recursion(int, int);<no-session-id>;3812578559545835521;1703733052520963600;1703733052551533800;Zenbook-Flip-14;28;4
$1;1703733052551538800;public void kurz.ma.examples.simple.Recursion.recursion(int, int);<no-session-id>;3812578559545835521;1703733052490943600;1703733052551538000;Zenbook-Flip-14;27;3
