$0;1690401045692633808;1.15-SNAPSHOT;KIEKER;203b795dd534;1;false;0;NANOSECONDS;0
$1;1690401060226646364;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060221731960;1690401060226640854;203b795dd534;67;3
$1;1690401060226805236;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060226717139;1690401060226799725;203b795dd534;73;5
$1;1690401060226839271;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060226698453;1690401060226834982;203b795dd534;72;4
$1;1690401060230229219;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060228853807;1690401060230215052;203b795dd534;74;4
$1;1690401060230287430;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060226664579;1690401060230281408;203b795dd534;71;3
$1;1690401060230451161;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060230357483;1690401060230444388;203b795dd534;77;5
$1;1690401060230490916;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060230337986;1690401060230484524;203b795dd534;76;4
$1;1690401060234086476;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060232555498;1690401060234063201;203b795dd534;78;4
$1;1690401060234170034;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6550907870475452418;1690401060230304202;1690401060234162931;203b795dd534;75;3
$1;1690401060234362620;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;6550907870475452418;1690401060234258322;1690401060234356178;203b795dd534;81;5
$1;1690401060234409760;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;6550907870475452418;1690401060234234647;1690401060234404620;203b795dd534;80;4
