$0;1703733689038663400;1.15.2;KIEKER;Zenbook-Flip-14;1;false;0;NANOSECONDS;0
$1;1703733689366606700;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4977603488151240705;1703733689058298300;1703733689366402700;Zenbook-Flip-14;1;1
$1;1703733689372685500;public kurz.ma.examples.simple.Loop.<init>();<no-session-id>;4977603488151240705;1703733689372668900;1703733689372678600;Zenbook-Flip-14;2;1
$1;1703733689420736000;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240705;1703733689372738900;1703733689420725100;Zenbook-Flip-14;4;2
$1;1703733689437743400;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240705;1703733689420780700;1703733689437734300;Zenbook-Flip-14;5;2
$1;1703733689485987400;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240705;1703733689437787000;1703733689485980000;Zenbook-Flip-14;6;2
$1;1703733689502827600;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240705;1703733689486019700;1703733689502824400;Zenbook-Flip-14;7;2
$1;1703733689551737400;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240705;1703733689502844900;1703733689551724800;Zenbook-Flip-14;8;2
$1;1703733689567863500;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240705;1703733689551780300;1703733689567858700;Zenbook-Flip-14;9;2
$1;1703733689567884900;public void kurz.ma.examples.simple.Loop.loop6(int, int);<no-session-id>;4977603488151240705;1703733689372727400;1703733689567884100;Zenbook-Flip-14;3;1
$1;1703733689567902300;public static void kurz.ma.examples.simple.Main7DoubleScenario.main(java.lang.String[]);<no-session-id>;4977603488151240705;1703733689053012300;1703733689567901500;Zenbook-Flip-14;0;0
$1;1703733689573069700;public kurz.ma.examples.simple.Recursion.<init>();<no-session-id>;4977603488151240706;1703733689573057600;1703733689573065400;Zenbook-Flip-14;1;1
$1;1703733689723834500;public static void kurz.ma.examples.simple.Worker.work6(int);<no-session-id>;4977603488151240706;1703733689673229300;1703733689723825400;Zenbook-Flip-14;5;4
$1;1703733689723864300;public void kurz.ma.examples.simple.Recursion.recursion6(int, int);<no-session-id>;4977603488151240706;1703733689673209100;1703733689723863000;Zenbook-Flip-14;4;3
$1;1703733689723869500;public void kurz.ma.examples.simple.Recursion.recursion6(int, int);<no-session-id>;4977603488151240706;1703733689623194200;1703733689723868500;Zenbook-Flip-14;3;2
$1;1703733689723873000;public void kurz.ma.examples.simple.Recursion.recursion6(int, int);<no-session-id>;4977603488151240706;1703733689573104900;1703733689723872400;Zenbook-Flip-14;2;1
$1;1703733689723885000;public kurz.ma.examples.simple.Loop.<init>();<no-session-id>;4977603488151240706;1703733689723881500;1703733689723884100;Zenbook-Flip-14;6;1
$1;1703733689796029800;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240706;1703733689723896500;1703733689796008300;Zenbook-Flip-14;8;2
$1;1703733689820012900;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240706;1703733689796070300;1703733689820006000;Zenbook-Flip-14;9;2
$1;1703733689892099800;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240706;1703733689820041400;1703733689892088200;Zenbook-Flip-14;10;2
$1;1703733689916992300;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240706;1703733689892149000;1703733689916984000;Zenbook-Flip-14;11;2
$1;1703733689989070700;private void kurz.ma.examples.simple.Loop.waitIfElse(int);<no-session-id>;4977603488151240706;1703733689917023600;1703733689989062800;Zenbook-Flip-14;12;2
