$0;1703539931069526300;1.15.2;KIEKER;Zenbook-Flip-14;1;false;0;NANOSECONDS;0
$1;1703539931096118200;public kurz.ma.examples.simple.Loop.<init>();<no-session-id>;4460956168398831617;1703539931095956300;1703539931095968000;Zenbook-Flip-14;1;1
$1;1703539931197665800;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539931096814900;1703539931197655500;Zenbook-Flip-14;3;2
$1;1703539931297671700;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539931197706700;1703539931297659200;Zenbook-Flip-14;4;2
$1;1703539931397926500;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539931297717800;1703539931397915400;Zenbook-Flip-14;5;2
$1;1703539931498380500;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539931397973500;1703539931498366100;Zenbook-Flip-14;6;2
$1;1703539931599062600;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539931498466700;1703539931599049700;Zenbook-Flip-14;7;2
$1;1703539931699171700;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539931599132600;1703539931699154100;Zenbook-Flip-14;8;2
$1;1703539931799701000;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539931699228200;1703539931799639900;Zenbook-Flip-14;9;2
$1;1703539931900770100;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539931799751400;1703539931900756300;Zenbook-Flip-14;10;2
$1;1703539932001256100;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539931900831400;1703539932001230100;Zenbook-Flip-14;11;2
$1;1703539932101998300;public void kurz.ma.examples.simple.Loop.workLoop(int);<no-session-id>;4460956168398831617;1703539932001343100;1703539932101983200;Zenbook-Flip-14;12;2
